#OTU ID	JQ1	JQ10	JQ11	JQ12	JQ13	JQ14	JQ15	JQ2	JQ3	JQ4	JQ5	JQ6	JQ7	JQ8	JQ9	PLJ1	PLJ11	PLJ12	PLJ13	PLJ14	PLJ15	PLJ16	PLJ17	PLJ18	PLJ2	PLJ3	PLJ4	PLJ6	PLJ8	PLJ9
ad72127c01dac114c005c83404612b5d	0	0	0	0	0	0	0	0	0	0	0	0	44	201	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37692beae490744c50df8449e1dfc778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3d0954f131032ebb7e76ddaca6831af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f6edbcb91f18c1dcc550ce2c68333165	36	0	0	0	0	0	25	6	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2a1b95f280310734ee9a73f6e4fe75e7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157a7c6518a3b3e70daf62add4531002	0	8	13	0	0	55	9	0	51	0	0	0	0	0	129	149	147	186	227	274	134	182	248	130	113	148	76	102	145	121
aef9ba0908439d0896ca8cfc4db4dbcf	0	0	0	0	0	0	0	0	0	6	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
702af9e944edfd5a1a7f0dce0d566376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	5	0	0	20	15	0	0	20	0	3	14	0	0	0	29
65b1fe847bdef1782f7c3b340f616bc6	0	0	0	0	0	72	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354a08c393183104bb5c02c51f87efe6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a099b394e1c5bf8da4ea283c5f27fd68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c8f814fd923180531d222e505bb8b7fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95b0d4f1aee6d2f42602026d5c634276	63	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9f6a48827f9fc2a505a655627657ffb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
