ASV	Taxon	Phylum	Class	Order	Family	Genus	Species
a7572501f9d1c90ceeabd1d99e46abf9	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured soil
34f6aba8fa05dbaf4cf24b33c4b0d7aa	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Unknown	Unknown
0d978574a891887d20450c5b748fa8b0	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	WD260	WD260	Unknown
a44e4a96dce79f69307bc4fbf322ab47	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unknown	Unknown	Unknown
722ca2f7dd4cfcfd70770de0b04e21bf	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Uncultured	Uncultured bacterium
06f81afd776d4a9e9d29cecd0f80bdb5	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Unknown
7c21a6aafa772ae73123592a493df278	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Uncultured	Uncultured	Unknown
2043f52de73937f81d7c5708358232d0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Uncultured	Unknown
0a4a969c25671097136ef52cc4cc64c8	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured bacterium
cf3632a2bc3bc8190d0bc8f971383dc4	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Unknown
8e915cdb6b25abf80ddc974c46e02756	Bacteria	Proteobacteria	Gammaproteobacteria	Uncultured	Uncultured	Uncultured	Uncultured bacterium
5dd806e0e07b1398f9fac0a3936f9795	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	Unknown
4a60e8938045769e89e99802703901ea	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Uncultured	Uncultured	Uncultured Planctomyces
88e08a1e21a4f87650c84f3d67e97e75	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	WD2101 soil group	Uncultured Planctomycetaceae
6170325a830bbdac983b33396820cc69	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Unknown
fbc87695715f82031cc19fc5ed29eb37	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Unknown
20e114374a55b4c7f71dc4413c50981d	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Unknown	Unknown
f746623132a408c456553a4c27c7d739	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Uncultured	Uncultured	Unknown
966901ee0e6159f7e3eea47fd978b81b	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	Uncultured Chloroflexi
5e217c16d26661e3f8ffca145111e602	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	Unknown
5ea6d48e4e3bea60e95c181378134d49	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Uncultured	Uncultured	Unknown
7cabb5e1e1d7b8d57a4ad37a76008bb4	Bacteria	Patescibacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	Uncultured bacterium
bbb51709ba10125ef2e5634421a19d02	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured planctomycete
6c8785d54b0a82792ef42827b0d14f90	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	Unknown
7528fa425ebd9d8055aeec6599246b3b	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	WD2101 soil group	Uncultured bacterium
b86415b9fd54ab9b7fec4e798cdea834	Bacteria	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
b871a60458b33c08b4ea5df79a9c0843	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Uncultured	Uncultured bacterium
da59e9029c639b882107aeff35342a55	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	Unknown
15d56c1957f615a428b92ab2d5f3e1ee	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unknown	Unknown
01fbdcccfaa6c8bfa5aa2ea77b89140c	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Uncultured bacterium
b66e8ed1ac915587e7726e50c478fc74	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	Unknown
476f769179b2f71c41861b5abba5070f	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured planctomycete
c10442f1117bbfe857fcc8b57429324e	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unknown
710714793c4abced59e33d12e08b9884	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	Uncultured Chloroflexi
bd1fb66155857195ea1ddfbcfa42a267	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unknown
43475bbde5395598ff6854b7c9fb59cd	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Uncultured bacterium
5414cc4442cc3630df7e28c6d0e469bd	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Uncultured	Unknown
b1754688d5b784544e2fe79f52f473a4	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	Unknown
2e25ddd506d51848434542b271e4b480	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales	Babeliales	Uncultured bacterium
535c1450d988ae61c0b5413bd2a255c8	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	Uncultured Pasteuria
